Item#,Department,Event Part of the day,hour 1,hour 2,hour 3,hour 4,hour 5,hour 6,hour 7,hour 8,hour 9,hour 10,hour 11,hour 12,hour 13,hour 14,hour 15,hour 16,hour 17,hour 18,hour 19,hour 20,hour 21,hour 22,hour 23,hour 24,Total sales
1,Polos&Tees,Morning,0.14,0.18,0.15,0.07,0,0,0.15,0.09,0.03,0.03,0.06,0.01,0.04,0.02,0,0,0,0,0,0,0.01,0.01,0,0,91
2,Polos&Tees,Morning,0.14,0.13,0.07,0.06,0.11,0.1,0.08,0,0,0.08,0,0,0.05,0.07,0,0,0,0,0,0.01,0,0,0,0,80
3,Polos&Tees,Afternoon,0.3,0.16,0.06,0.1,0.05,0.02,0.02,0.02,0.02,0.03,0.04,0.01,0.01,0.02,0,0,0,0,0,0,0,0.02,0,0.02,91
4,Skirts,Morning,0.26,0.12,0.07,0.04,0.04,0.04,0.03,0.04,0.03,0,0.04,0.02,0.04,0.03,0.01,0,0,0,0,0,0,0.01,0.01,0.02,171
5,Polos&Tees,Afternoon,0.22,0.11,0,0.08,0,0.05,0,0.05,0,0.02,0.04,0,0.04,0,0.02,0.01,0,0,0,0,0,0,0,0,85
6,Polos&Tees,Morning,0.34,0.09,0.13,0.03,0.06,0.03,0.01,0.05,0.03,0.06,0.03,0.03,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0,0,88
7,Polos&Tees,Morning,0.32,0.17,0.11,0.08,0.05,0.03,0.03,0.02,0.01,0.05,0.01,0.04,0.03,0,0,0.01,0.01,0,0,0,0,0,0,0,51
8,Polos&Tees,Morning,0.21,0.14,0.06,0.09,0.04,0.1,0.02,0.03,0.02,0.03,0.02,0.01,0,0.02,0,0,0.02,0,0,0,0,0,0,0.03,63
9,Polos&Tees,Afternoon,0.52,0.16,0,0.11,0.06,0,0,0.03,0.07,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
10,Polos&Tees,Morning,0.38,0.15,0.11,0.05,0.06,0.04,0.02,0,0.04,0.09,0,0,0.03,0,0,0,0,0.03,0,0,0,0,0,0,98
