Members' position in the list,Item1,Item2,Item3,Item4,Item5
1,Raw Rice,Organic F&V,NA,NA,NA
2,Beans,Root Vegetables,Namkeen,Other Vegetables,NA
3,Organic Rice & Rice Products,Avalakki / Poha,Organic F&V,NA,NA
4,Namkeen,Moong Dal,Cream Biscuits,Whole Spices,NA
5,Beans,Ground Coffee,Sooji & Rava,NA,NA
6,Other Vegetables,Beans,Brinjals,NA,NA
7,Oats,Organic Masalas & Spices,Other Vegetables,Raisins,Agarbatti
8,Toothpaste,Root Vegetables,Hair Conditioner,NA,NA
9,Snacky Nuts,Root Vegetables,Banana,NA,NA
10,Cream Biscuits,Exotic Vegetables,NA,NA,NA
11,Besan,Other Juices,Other Dals,NA,NA
12,Banana,Whole Spices,Raisins,NA,NA
13,Namkeen,Chips,NA,NA,NA
14,Ghee,Other Dals,NA,NA,NA
15,Banana,Instant Pastas,NA,NA,NA
16,Veg & Fruit,Diapers & Wipes,NA,NA,NA
17,Banana,Namkeen,Toilet Cleaners,NA,NA
18,Organic F&V,Banana,Cream Biscuits,Butter & Cream,NA
19,Urad Dal,Almonds,Raw Rice,NA,NA
20,Chips,Instant Pastas,NA,NA,NA
